17/06/2022,deliveroo north sydneynsw,-66.68
16/06/2022,sq *wolfpack coffee r mortlake aus,-13.1
15/06/2022,bus insiderbi prime 6463766096 ny ##0622 9.95 us dollar,-14.47
14/06/2022,marriott fiji resort nadi fji ##0622 104.06 fiji dollar,-69.47
14/06/2022,"marriott fiji resort nadi fji ##0622 1,400.00 fiji dollar",-943.84
14/06/2022,tappoo ltd fiji fji ##0622 147.19 fiji dollar,-99.23
14/06/2022,tappoo ltd fiji fji ##0622 4.05 fiji dollar,-2.73
14/06/2022,iga breakfast breakfast poaus,-65.24
14/06/2022,uber* trip sydney nsw,-48.28
12/06/2022,dbs*fitness local mort mortlake ns,-21.95
10/06/2022,prime video channels sydney nsw,-8.99
10/06/2022,sq *powells creek ten north strathaus,-44
9/06/2022,prime video channels sydney nsw,-4.99
8/06/2022,jacks fiji outlet de nadi ## fji merchant,-39.48
7/06/2022,sumo salad mascot nsw,-23.45
7/06/2022,prouds dutyfree arriva nadi fji ##0622 3.59 fiji dollar,-2.36
6/06/2022,iga breakfast breakfast poaus,-66.48
6/06/2022,uber *trip sydney aus,-55.37
6/06/2022,paypal *fijicareins 4029357733 sgp ## sgp merchant,-115.7
6/06/2022,prime video channels sydney nsw,-8.99
6/06/2022,amzn digital*t495a3b53 888-802-3080wa ##0622 10.81 us dollar,-15
6/06/2022,amzn digital*cx1nn1gw3 888-802-3080wa ##0622 15.84 us dollar,-21.98
6/06/2022,1001 optical p/l burwood nsw,-172
6/06/2022,dbs*fitness local mort mortlake ns,-21.95
6/06/2022,sq *wolfpack coffee r mortlake aus,-9.6
6/06/2022,lgc*uber eats giftcard sydney nsw,-300
6/06/2022,amzn digital*n62x90a93 888-802-3080wa ##0622 10.81 us dollar,-15
5/06/2022,sq *powells creek ten north strathaus,-71.3
5/06/2022,sq *wolfpack coffee r mortlake aus,-9.6
4/06/2022,true plate pty ltd nswnsw,-36
4/06/2022,uber* eats sydney nsw,-62.49
3/06/2022,sq *wolfpack coffee r mortlake aus,-13.1
2/06/2022,apple.com/bill sydney nsw,-7.99
2/06/2022,baby bunting pl campbelltownnsw,-216.75
2/06/2022,baby bunting pl campbelltownnsw,-77.8
2/06/2022,sq *wolfpack coffee r mortlake aus,-13.1
2/06/2022,connor clothing pty ambarvale,-59.99
1/06/2022,captain cook cruises neutral bay nsw,-319.95
1/06/2022,captain cook cruises neutral bay nsw,-319.95
1/06/2022,mamabox australia stoneville wa,-89
1/06/2022,sq *wolfpack coffee r mortlake aus,-9.6
31/05/2022,uber *eats sydney aus,-52.79
31/05/2022,iga breakfast breakfast poaus,-48.91
31/05/2022,sq *wolfpack coffee r mortlake aus,-12.6
30/05/2022,fitness local mortlake mortlake nsw,-4
30/05/2022,dbs*fitness local mort mortlake ns,-21.95
30/05/2022,sq *wolfpack coffee r mortlake aus,-9.6
30/05/2022,smp*supplement world burwood aus,-80.95
30/05/2022,netflix.com netflix.com ca ##0522 16.77 us dollar,-23.7
30/05/2022,deliveroo north sydneynsw,-66.68
29/05/2022,sq *powells creek ten north strathaus,-45
29/05/2022,true plate pty ltd nswnsw,-31.5
29/05/2022,iga breakfast breakfast poaus,-47.42
29/05/2022,amznprimeau membership sydney southnsw,-6.99
28/05/2022,baby bunting dandenong sovic,-72.25
28/05/2022,key pharmaceuticals macquarie pansw,-100
28/05/2022,babyhood woodridge qld,-65
28/05/2022,deliveroo north sydneynsw,-51.98
28/05/2022,sq *wolfpack coffee r mortlake aus,-9.6
28/05/2022,uber *eats sydney aus,-55.79
28/05/2022,anchor and arrow pty l brookvale,-50
28/05/2022,love to dream waterloo,-42.5
27/05/2022,iga breakfast breakfast poaus,-41.82
27/05/2022,fitness local mortlake mortlake nsw,-4
27/05/2022,sq *wolfpack coffee r mortlake aus,-9.6
27/05/2022,iga breakfast breakfast poaus,-72.09
26/05/2022,fitness local mortlake mortlake nsw,-4
26/05/2022,sq *wolfpack coffee r mortlake aus,-13.1
25/05/2022,fitness local mortlake mortlake nsw,-4
25/05/2022,sq *wolfpack coffee r mortlake aus,-12.6
25/05/2022,curiositystream silver sprinmd ##0522 3.29 us dollar,-4.66
25/05/2022,transportfornsw tap sydney,-12.42
24/05/2022,bridge store pty ltd sydney,-43.5
24/05/2022,sushi and nori sydney nsw,-25
24/05/2022,crema at the garden ca sydney,-8.5
24/05/2022,crema at the garden ca sydney,-5.5
23/05/2022,iga breakfast breakfast poaus,-34.52
23/05/2022,dbs*fitness local mort mortlake ns,-21.95
23/05/2022,sq *wolfpack coffee r mortlake aus,-9.1
23/05/2022,deliveroo north sydneynsw,-54.28
22/05/2022,bp pymble 0957 pymble nsw,-59.4
22/05/2022,sabor in the hunter pokolbin nsw,-60
21/05/2022,harrigans irish pub pokolbin nsw,-20.5
21/05/2022,harrigans irish pub pokolbin nsw,-9
21/05/2022,harrigans irish pub pokolbin nsw,-8
21/05/2022,broke village store broke nsw,-13.5
20/05/2022,roche group harrigans pokolbin nsw,-17.3
20/05/2022,roche group harrigans pokolbin nsw,-44.3
20/05/2022,harrigans irish pub pokolbin nsw,-53
20/05/2022,steam purchase seattle deu ## deu merchant,-52.46
20/05/2022,sq *wolfpack coffee r mortlake aus,-13.1
20/05/2022,iga breakfast breakfast poaus,-36.81
19/05/2022,sq *wolfpack coffee r mortlake aus,-9.1
18/05/2022,apple.com/bill sydney aus,-51.99
18/05/2022,apple.com/bill sydney nsw,-19.99
18/05/2022,sq *wolfpack coffee r mortlake aus,-12.6
18/05/2022,transportfornsw tap sydney,-12.42
17/05/2022,apple.com/bill sydney aus,-1.49
17/05/2022,willoughby city counci chatswood aus,-5.2
17/05/2022,bridge store pty ltd sydney,-42.99
17/05/2022,quay newsagency sydney nsw,-5.09
17/05/2022,deliveroo north sydneynsw,-70.68
17/05/2022,crema at the garden ca sydney,-5.5
16/05/2022,iga breakfast breakfast poaus,-47.7
16/05/2022,dbs*fitness local mort mortlake ns,-21.95
16/05/2022,sq *powells creek ten north strathaus,-45
16/05/2022,sq *wolfpack coffee r mortlake aus,-13.1
16/05/2022,transportfornsw tap sydney,-6.45
15/05/2022,steam purchase seattle deu ## deu merchant,-35.95
15/05/2022,bus insiderbi prime 6463766096 ny ##0522 9.95 us dollar,-14.57
15/05/2022,uber *eats sydney aus,-43.59
15/05/2022,ground control cafe sydney nsw,-10.2
15/05/2022,budget petrol northqps north strath,-33.18
15/05/2022,transportfornsw tap sydney,-4.48
14/05/2022,sydney rocks brewing alexandria nsw,-47
14/05/2022,sydney rocks brewing alexandria nsw,-4.5
14/05/2022,harajukugyozadh noosa heads qld,-64.45
14/05/2022,transportfornsw tap sydney,-10.24
14/05/2022,strike alexandria 10 alexandria nsw,-14
14/05/2022,amzn digital*1l5gz7z92 888-802-3080wa ##0522 14.39 us dollar,-21.07
14/05/2022,uber *trip sydney aus,-24.48
14/05/2022,uber *trip sydney aus,-5
14/05/2022,uber *trip sydney aus,-34.41
13/05/2022,theatre royal bar sydney nsw,-23
13/05/2022,jolene's sydney nsw,-19.19
13/05/2022,todaytix australia pty 9174147250 nsw,-189.9
13/05/2022,city of canada bay c drummoyne,-51.3
13/05/2022,py holdings pty limite sydney,-49.9
13/05/2022,royal copenhagen cir sydney,-6
13/05/2022,camden valley inn camden park nsw,-44.5
12/05/2022,camden valley inn camden park nsw,-7.7
12/05/2022,camden valley inn camden park nsw,-14.1
12/05/2022,camden valley inn camden park nsw,-9
12/05/2022,camden valley inn camden park nsw,-18
12/05/2022,camden valley inn camden park nsw,-9
12/05/2022,camden valley inn camden park nsw,-17.2
12/05/2022,meandu *camden valley surry hills aus,-45.54
12/05/2022,camden valley inn camden park nsw,-28
12/05/2022,camden valley inn camden park nsw,-10
11/05/2022,fitness local mortlake mortlake nsw,-2.5
11/05/2022,sq *wolfpack coffee r mortlake aus,-12.6
11/05/2022,enzo catering pty ltd mount hutton,-188.19
10/05/2022,amzn digital*136z898q0 888-802-3080wa ##0522 12.02 us dollar,-17.4
10/05/2022,sq *wolfpack coffee r mortlake aus,-9.6
10/05/2022,prime video channels sydney nsw,-8.99
10/05/2022,blade and barrel pty concord nsw,-144.9
9/05/2022,iga breakfast breakfast poaus,-62.38
9/05/2022,dbs*fitness local mort mortlake ns,-21.95
9/05/2022,sq *wolfpack coffee r mortlake aus,-12.6
9/05/2022,prime video channels sydney nsw,-4.99
8/05/2022,sq *powells creek ten north strathaus,-41.8
8/05/2022,uber* trip sydney nsw,-28.54
7/05/2022,iga breakfast breakfast poaus,-65.79
7/05/2022,soul origin macarthu campbelltownnsw,-20.6
7/05/2022,yf & zd pty ltd breakfast ponsw,-10.2
7/05/2022,connor clothing pty ambarvale,-7.99
7/05/2022,david jones limited macarthur sq,-159
7/05/2022,betts campbelltown,-214.99
6/05/2022,prime video channels sydney nsw,-8.99
6/05/2022,sq *wolfpack coffee r mortlake aus,-13.1
6/05/2022,amzn digital*1l31s8f31 888-802-3080wa ##0522 11.60 us dollar,-16.34
6/05/2022,palace hotel mortlake aus,-8.3
6/05/2022,palace hotel mortlake aus,-8.3
6/05/2022,palace hotel mortlake aus,-16.61
5/05/2022,bp concord 6049 concord nsw,-15.49
5/05/2022,uber *eats sydney aus,-51.99
5/05/2022,uber* trip sydney nsw,-13.19
5/05/2022,sq *wolfpack coffee r mortlake aus,-12.6
